10192442_network.png,N (No Data)
10312577_network.png,D (Inefficient)
10401812_network.png,A (Very Efficient)
10716519_network.png,C (Partially Efficient)
10784825_network.png,D (Inefficient)
10784829_network.png,D (Inefficient)
10784832_network.png,D (Inefficient)
10788013_network.png,D (Inefficient)
10788016_network.png,D (Inefficient)
10788022_network.png,D (Inefficient)
10854586_network.png,D (Inefficient)
10959701_network.png,C (Partially Efficient)
11075421_network.png,D (Inefficient)
11149287_network.png,C (Partially Efficient)
11157973_network.png,C (Partially Efficient)
11278380_network.png,C (Partially Efficient)
11278389_network.png,D (Inefficient)
11293368_network.png,C (Partially Efficient)
11293597_network.png,C (Partially Efficient)
11293649_network.png,C (Partially Efficient)
11293650_network.png,C (Partially Efficient)
11293651_network.png,C (Partially Efficient)
11293734_network.png,C (Partially Efficient)
11300355_network.png,N (No Data)
11300356_network.png,D (Inefficient)
11300357_network.png,D (Inefficient)
11300358_network.png,D (Inefficient)
11300359_network.png,A (Very Efficient)
11300360_network.png,N (No Data)
11300361_network.png,D (Inefficient)
11300362_network.png,D (Inefficient)
11300363_network.png,D (Inefficient)
11303615_network.png,C (Partially Efficient)
11303616_network.png,C (Partially Efficient)
11303617_network.png,N (No Data)
11303618_network.png,N (No Data)
11303656_network.png,C (Partially Efficient)
11303683_network.png,N (No Data)
11303734_network.png,C (Partially Efficient)
11306814_network.png,C (Partially Efficient)
11306820_network.png,D (Inefficient)
11306894_network.png,D (Inefficient)
11314803_network.png,D (Inefficient)
11369258_network.png,D (Inefficient)
1145353_network.png,D (Inefficient)
11491335_network.png,D (Inefficient)
11491408_network.png,D (Inefficient)
11493015_network.png,C (Partially Efficient)
11493061_network.png,D (Inefficient)
11493447_network.png,C (Partially Efficient)
11498680_network.png,D (Inefficient)
11518378_network.png,D (Inefficient)
11520170_network.png,D (Inefficient)
11528134_network.png,D (Inefficient)
11530720_network.png,D (Inefficient)
11530731_network.png,D (Inefficient)
11545851_network.png,D (Inefficient)
11549160_network.png,D (Inefficient)
11549165_network.png,D (Inefficient)
11549166_network.png,D (Inefficient)
11569458_network.png,D (Inefficient)
11569464_network.png,C (Partially Efficient)
11569482_network.png,C (Partially Efficient)
11569579_network.png,C (Partially Efficient)
11569594_network.png,D (Inefficient)
11570781_network.png,D (Inefficient)
11570925_network.png,D (Inefficient)
11571199_network.png,D (Inefficient)
11571326_network.png,D (Inefficient)
11571341_network.png,C (Partially Efficient)
11571362_network.png,C (Partially Efficient)
11571723_network.png,D (Inefficient)
11571788_network.png,N (No Data)
11571791_network.png,D (Inefficient)
11571794_network.png,D (Inefficient)
11571810_network.png,D (Inefficient)
11571834_network.png,D (Inefficient)
11571844_network.png,N (No Data)
11571849_network.png,D (Inefficient)
11571851_network.png,C (Partially Efficient)
11586474_network.png,B (Efficient)
11596904_network.png,C (Partially Efficient)
11610469_network.png,D (Inefficient)
11612961_network.png,D (Inefficient)
11629458_network.png,A (Very Efficient)
11629487_network.png,C (Partially Efficient)
11641234_network.png,C (Partially Efficient)
11641248_network.png,D (Inefficient)
11641264_network.png,B (Efficient)
11641334_network.png,D (Inefficient)
11651038_network.png,D (Inefficient)
11671219_network.png,D (Inefficient)
11690260_network.png,D (Inefficient)
11747352_network.png,D (Inefficient)
11772057_network.png,D (Inefficient)
11772445_network.png,D (Inefficient)
11772460_network.png,D (Inefficient)
11845462_network.png,D (Inefficient)
11905878_network.png,D (Inefficient)
11922129_network.png,D (Inefficient)
11922185_network.png,B (Efficient)
11922198_network.png,D (Inefficient)
11924728_network.png,C (Partially Efficient)
11924876_network.png,C (Partially Efficient)
11960156_network.png,D (Inefficient)
11960636_network.png,C (Partially Efficient)
11970492_network.png,C (Partially Efficient)
12006044_network.png,D (Inefficient)
12006874_network.png,D (Inefficient)
12009520_network.png,D (Inefficient)
12014883_network.png,N (No Data)
12030621_network.png,C (Partially Efficient)
12039226_network.png,D (Inefficient)
12089477_network.png,C (Partially Efficient)
12092475_network.png,C (Partially Efficient)
12092972_network.png,D (Inefficient)
12098334_network.png,B (Efficient)
12098396_network.png,B (Efficient)
12098408_network.png,D (Inefficient)
12104544_network.png,D (Inefficient)
12104618_network.png,D (Inefficient)
12205937_network.png,D (Inefficient)
12217873_network.png,N (No Data)
12264655_network.png,D (Inefficient)
1244164_network.png,N (No Data)
12536068_network.png,D (Inefficient)
12567549_network.png,C (Partially Efficient)
12587078_network.png,D (Inefficient)
1259310_network.png,D (Inefficient)
12624272_network.png,N (No Data)
12660603_network.png,D (Inefficient)
12672239_network.png,C (Partially Efficient)
